organism	error_rate	coverage	k	threads	matching_bins	total_bins	accuracy_pct	bq_unique	jf_unique
mflorum	0.001	10	21	8	675	687	98.25	9029616	9029576
mflorum	0.001	50	21	8	1809	1823	99.23	18381424	18381333
mflorum	0.001	100	21	8	2700	2722	99.19	29558040	29557883
mflorum	0.005	10	21	8	0	648	0.0	17931944	0
mflorum	0.005	50	21	8	1766	1784	98.99	58853660	58853548
mflorum	0.005	100	21	8	2568	2591	99.11	101911539	101911364
mflorum	0.02	10	21	8	530	542	97.79	44546253	44546197
mflorum	0.02	50	21	8	1456	1475	98.71	165086078	165085958
mflorum	0.02	100	21	8	2190	2202	99.46	268822421	268822221
ecoli	0.001	10	21	8	317	317	100.0	6274058	6274058
ecoli	0.001	50	21	8	1087	1087	100.0	12787767	12787767
ecoli	0.001	100	21	8	1821	1821	100.0	20601399	20601399
ecoli	0.005	10	21	8	297	297	100.0	12488735	12488735
ecoli	0.005	50	21	8	1025	1025	100.0	41031970	41031970
ecoli	0.005	100	21	8	1716	1716	100.0	71075895	71075895
ecoli	0.02	10	21	8	227	227	100.0	31036805	31036805
ecoli	0.02	50	21	8	778	778	100.0	115259714	115259714
ecoli	0.02	100	21	8	1383	1383	100.0	188239724	188239724
yeast	0.001	10	21	8	1096	1096	100.0	16024923	16024923
yeast	0.001	50	21	8	3534	3534	100.0	32867502	32867502
yeast	0.001	100	21	8	6051	6053	99.97	52875289	52875289
yeast	0.005	10	21	8	1032	1032	100.0	32105451	32105451
yeast	0.005	50	21	8	3340	3340	100.0	105147638	105147638
yeast	0.005	100	21	8	5711	5713	99.96	181606457	181606457
yeast	0.02	10	21	8	817	817	100.0	79904153	79904153
yeast	0.02	50	21	8	2628	2628	100.0	295080415	295080415
yeast	0.02	100	21	8	4483	4483	100.0	481015348	481015348
meta_90_10	0.001	100	21	8	4036	4036	100.0	69503599	69503599
meta_90_10	0.005	100	21	8	3933	3933	100.0	195576202	195576202
meta_90_10	0.02	100	21	8	3358	3358	100.0	461690970	461690970
meta_50_50	0.001	100	21	8	4639	4639	100.0	73131553	73131553
meta_50_50	0.005	100	21	8	4398	4398	100.0	245395182	245395182
meta_50_50	0.02	100	21	8	3471	3471	100.0	640595003	640595003
ecoli	0.005	100	21	1	1716	1716	100.0	71075895	71075895
ecoli	0.005	100	21	2	1716	1716	100.0	71075895	71075895
ecoli	0.005	100	21	4	1716	1716	100.0	71075895	71075895
ecoli	0.005	100	15	8	1982	1982	100.0	48990504	48990504
ecoli	0.005	100	31	8	1460	1460	100.0	95579116	95579116
